Unnamed: 0,car_prices_in_rupee,kms_driven,fuel_type,transmission,ownership,manufacture,engine,Seats,company_name,car_names
3040,500000.0,40000,Diesel,Manual,2nd Owner,2012,2494,5,Maruti,Ertiga ZDI
3041,125000.0,100000,Petrol,Manual,3rd Owner,2010,1995,5,Volkswagen,Vento IPL II Petrol Trendline
3042,5800000.0,17000,Diesel,Automatic,1st Owner,2020,1396,5,Mercedes-Benz,E-Class Expression E 220 d BSIV
3043,490000.0,100000,Diesel,Manual,1st Owner,2015,1198,7,Volkswagen,Polo Exquisite 1.5 TDI Highline
3044,190000.0,100000,Petrol,Manual,1st Owner,2011,1396,4,Maruti,Wagon R VXI BS IV
3045,600000.0,120000,Diesel,Manual,2nd Owner,2013,1950,8,Toyota,Innova 2.5 G (Diesel) 8 Seater
3046,6000000.0,19000,Diesel,Automatic,1st Owner,2021,1997,5,BMW,X3 xDrive 20d Luxury Line
3047,650000.0,60000,Diesel,Manual,2nd Owner,2017,796,7,Hyundai,i20 Sportz 1.4 CRDi
3048,400000.0,25000,Petrol,Manual,1st Owner,2018,2179,5,Nissan,Micra Active XV Petrol
3049,185000.0,100000,Diesel,Manual,1st Owner,2012,1997,5,Tata,Indigo LX BSIV
3050,7150000.0,24900,Diesel,Automatic,1st Owner,2021,1498,7,Mercedes-Benz,GLC Coupe 300d 4MATIC
3051,1000000.0,70000,Diesel,Manual,1st Owner,2015,1120,5,Mahindra,Scorpio 1.99 S10 4WD
3052,200000.0,70000,Petrol,Manual,1st Owner,2014,999,7,Maruti,800 AC
3053,350000.0,100000,Diesel,Manual,2nd Owner,2006,4461,8,Mahindra,Scorpio 2.6 CRDe
3054,4700000.0,7500,Petrol,Automatic,1st Owner,2020,1248,5,Jaguar,XF 2.0 Petrol Prestige
3055,580000.0,110000,Diesel,Manual,1st Owner,2020,2982,5,Mahindra,Bolero B4
3056,310000.0,70000,Diesel,Manual,2nd Owner,2015,2494,5,Hyundai,Xcent 1.1 CRDi Base
3057,750000.0,35000,Petrol,Manual,1st Owner,2021,1993,5,Renault,Kiger RXZ
3058,15800000.0,56000,Diesel,Automatic,1st Owner,2018,1199,5,Toyota,Land Cruiser VX
3059,535000.0,74200,Diesel,Manual,2nd Owner,2017,1047,5,Maruti,Swift Dzire ZDI
3060,1500000.0,120000,Diesel,Manual,2nd Owner,2016,998,5,Toyota,Fortuner 4x2 Manual
3061,300000.0,169000,Diesel,Manual,3rd Owner,2007,2925,7,Toyota,Innova 2.5 EV Diesel MS 8 Str BSIII
3062,6200000.0,4000,Diesel,Automatic,1st Owner,2022,796,7,Mercedes-Benz,C-Class C 220d
3063,130000.0,90000,Diesel,Manual,3rd Owner,2010,1086,5,Volkswagen,Polo Diesel Trendline 1.2L
3064,300000.0,120000,Diesel,Manual,1st Owner,2017,1461,5,Tata,Tiago 1.05 Revotorq XT
3065,115000.0,70000,Petrol,Manual,2nd Owner,2009,2925,5,Maruti,A-Star Lxi
